       	ADAM33 	ADRB2  	ALOX5  	AREG   	ARG1   	BCL6   	CCL11  	CCL17  	CCL2   	CCL22  	CCL24  	CCL26  	CCL5   	CCL8   	CCR3   	CCR4   	CCR8   	CD40LG 	CHIA   	CLC    	CLCA1  	CMA1   	CPA3   	CRLF2  	CSF2   	CSF3R  	CYSLTR1	EPX    	FCER1A 	FOXP3  	GATA3  	GPR44  	ICOS   	IFNG   	IFNGR2 	IL10   	IL12A  	IL12B  	IL13   	IL13RA1	IL13RA2	IL17A  	IL17RB 	IL18   	IL1RL1 	IL21   	IL25   	IL2RA  	IL3    	IL31   	IL33   	IL3RA  	IL4    	IL4R   	IL5    	IL5RA  	IL9    	KIT    	KITLG  	LTB4R  	MAF    	MMP9   	MRC1   	MS4A2  	PDCD1  	PMCH   	POSTN  	PPARG  	PRG2   	RETNLB 	RNASE2 	RNASE3 	RORC   	SATB1  	SIGLEC8	STAT5A 	STAT6  	TBX21  	TGFB1  	TNFRSF4	TNFSF4 	TSLP   
FOXP3  	0.011982	0.011533	0.011428	0.0075834	0.010772	0.013032	0.012506	0.012636	0.012584	0.012772	0.012624	0.012797	0.012571	0.01294	0.01265	0.012778	0.012717	0.012816	0.010139	0.011014	0.011668	0.012071	0.011062	0.012972	0.012524	0.012806	0.010604	0.011916	0.010159	0.012869	0.012896	0.012454	0.013048	0.012786	0.0131	0.012713	0.012846	0.012687	0.012604	0.012895	0.01282	0.012731	0.012671	0.01269	0.012987	0.012818	0.012788	0.012745	0.012615	0.011814	0.012783	0.012743	0.012661	0.012669	0.012488	0.012726	0.01262	0.012393	0.012149	0.0097751	0.012976	0.012241	0.010735	0.011697	0.013694	0.0083579	0.011014	0.012855	0.011294	0.010146	0.01174	0.011987	0.01307	0.013017	0.0083579	0.012715	0.012611	0.012859	0.012678	0.013285	0.013607	0.012822                                                                            
GATA3  	0.011783	0.011203	0.011313	0.007184	0.010594	0.013115	0.012487	0.012604	0.012577	0.01273	0.012588	0.012798	0.012553	0.012704	0.012618	0.012757	0.012677	0.012804	0.0099118	0.010698	0.011474	0.011886	0.010656	0.012535	0.012501	0.012693	0.010326	0.011764	0.010396	0.012896	0.013309	0.01238	0.013106	0.012826	0.013084	0.012731	0.012917	0.012716	0.012633	0.012969	0.012869	0.012812	0.012757	0.012799	0.013993	0.012918	0.012851	0.012745	0.012589	0.011604	0.012936	0.012686	0.01274	0.012694	0.0126	0.012691	0.012616	0.012285	0.012062	0.0094358	0.013623	0.012191	0.010495	0.011858	0.013325	0.0086485	0.010698	0.01291	0.011022	0.009927	0.011566	0.011861	0.013272	0.015589	0.0086485	0.012684	0.012643	0.012992	0.012694	0.013118	0.013265	0.012791                                                                         
GPR44  	0.024333	0.029225	0.010942	0.0063119	0.0098559	0.012329	0.012392	0.012267	0.012297	0.012434	0.013189	0.01273	0.012471	0.012991	0.012739	0.012578	0.01287	0.012307	0.0091171	0.011191	0.011651	0.011265	0.0099809	0.011991	0.012266	0.01231	0.010192	0.011965	0.0095607	0.012454	0.01238	0.016321	0.012295	0.012401	0.012729	0.012321	0.012577	0.014145	0.012322	0.012491	0.012401	0.012313	0.01215	0.012381	0.012143	0.012467	0.012324	0.012333	0.012257	0.0099399	0.012313	0.012217	0.012374	0.012899	0.012273	0.01242	0.012255	0.011839	0.011665	0.0092169	0.012319	0.011665	0.0098261	0.011274	0.012007	0.0082057	0.011191	0.012237	0.011386	0.0092	0.011744	0.01189	0.012644	0.011994	0.0082057	0.012245	0.012436	0.012518	0.012222	0.012171	0.011976	0.012271                                                                      
ICOS   	0.011486	0.010835	0.011232	0.0072267	0.010567	0.013398	0.012483	0.012657	0.012608	0.012809	0.012568	0.012796	0.012581	0.012737	0.012634	0.01279	0.012702	0.013016	0.0097952	0.010585	0.011412	0.011917	0.010661	0.012726	0.012532	0.012782	0.010231	0.011714	0.010073	0.013048	0.013106	0.012295	0.013452	0.012912	0.013104	0.012839	0.012948	0.012699	0.012643	0.012961	0.012894	0.012809	0.012616	0.012764	0.013122	0.012953	0.012851	0.012854	0.012647	0.011521	0.012854	0.012855	0.012764	0.012708	0.012555	0.012732	0.012656	0.012343	0.012084	0.0093298	0.013315	0.012241	0.010441	0.011634	0.014804	0.0084042	0.010585	0.012851	0.010932	0.0098482	0.011501	0.011831	0.013197	0.013708	0.0084042	0.012751	0.012673	0.01302	0.012742	0.013927	0.014771	0.012947                                                                   
IFNG   	0.011917	0.011432	0.01172	0.008531	0.010676	0.012911	0.01251	0.012579	0.012552	0.012705	0.012583	0.012741	0.012552	0.012805	0.012611	0.012715	0.012661	0.012741	0.010059	0.011212	0.01178	0.012246	0.011485	0.012795	0.012521	0.012787	0.011099	0.011991	0.010193	0.012786	0.012826	0.012401	0.012912	0.01274	0.013202	0.012659	0.012808	0.012642	0.01258	0.013046	0.012788	0.01268	0.012752	0.012665	0.012947	0.012759	0.012766	0.012695	0.012597	0.011535	0.012746	0.012705	0.012622	0.012641	0.012457	0.012699	0.012604	0.012462	0.012258	0.010433	0.012892	0.012311	0.010647	0.011721	0.013322	0.0082567	0.011212	0.012799	0.011458	0.010048	0.011842	0.012053	0.012968	0.012947	0.0082567	0.012658	0.012563	0.01279	0.012657	0.013072	0.01326	0.012745                                                                             
IFNGR2 	0.013273	0.013244	0.010893	0.0070474	0.010923	0.013021	0.012433	0.012629	0.012703	0.012724	0.01257	0.012811	0.012606	0.012401	0.012638	0.012753	0.012658	0.012861	0.010225	0.0099647	0.011092	0.011509	0.0098448	0.012068	0.012514	0.012464	0.0096394	0.011397	0.0094315	0.0131	0.013084	0.012729	0.013104	0.013202	0.022083	0.013332	0.014325	0.013804	0.013048	0.013245	0.01301	0.012888	0.012234	0.012989	0.012919	0.013078	0.012854	0.012829	0.012597	0.010558	0.012884	0.012579	0.012719	0.012847	0.012495	0.012611	0.012662	0.012068	0.01189	0.0086247	0.013036	0.01229	0.010572	0.011619	0.013375	0.0071609	0.0099647	0.012811	0.010401	0.009991	0.011128	0.011538	0.013502	0.012466	0.0071609	0.012646	0.012775	0.01323	0.01286	0.013059	0.012931	0.012752                                                                      
IL10   	0.011891	0.011448	0.011455	0.0089617	0.012535	0.012829	0.012395	0.012579	0.012543	0.012609	0.012481	0.012638	0.012464	0.012647	0.012519	0.012613	0.012559	0.012667	0.012223	0.011059	0.011664	0.012086	0.01124	0.012562	0.012424	0.012659	0.010718	0.011857	0.01007	0.012713	0.012731	0.012321	0.012839	0.012659	0.013332	0.012671	0.012764	0.012594	0.01256	0.012782	0.012689	0.012595	0.012461	0.012581	0.012804	0.012671	0.01263	0.012608	0.012497	0.011559	0.012641	0.012585	0.012524	0.012545	0.012356	0.012579	0.012513	0.012315	0.012101	0.009989	0.012776	0.012264	0.012358	0.011615	0.013303	0.0081701	0.011059	0.012686	0.011311	0.012225	0.011703	0.011924	0.012858	0.012721	0.0081701	0.012554	0.012595	0.012713	0.012573	0.012989	0.013189	0.012645                                                                        
IL12A  	0.012465	0.012191	0.011444	0.0073933	0.010935	0.013003	0.012492	0.012601	0.012586	0.012714	0.012617	0.012789	0.012559	0.012755	0.012632	0.012742	0.012686	0.012759	0.010331	0.010855	0.011581	0.011928	0.010753	0.012581	0.012505	0.012706	0.010569	0.011835	0.010272	0.012846	0.012917	0.012577	0.012948	0.012808	0.014325	0.012764	0.013042	0.012872	0.012661	0.012994	0.012843	0.01274	0.012709	0.012735	0.013113	0.012834	0.012801	0.012718	0.012584	0.011626	0.012803	0.012661	0.012646	0.012695	0.012492	0.012688	0.012604	0.0123	0.012101	0.0097482	0.012975	0.012213	0.010821	0.011819	0.01321	0.0084802	0.010855	0.012827	0.011159	0.010305	0.011647	0.011911	0.013122	0.012978	0.0084802	0.012663	0.012626	0.012893	0.012684	0.013018	0.013096	0.012744                                                                       
IL12B  	0.017768	0.019844	0.011236	0.0072786	0.010577	0.012734	0.012407	0.012431	0.012454	0.012551	0.012713	0.012671	0.012483	0.012585	0.012607	0.01259	0.01268	0.012569	0.0099499	0.010707	0.011415	0.011721	0.0106	0.012275	0.012374	0.01256	0.010396	0.011708	0.010069	0.012687	0.012716	0.014145	0.012699	0.012642	0.013804	0.012594	0.012872	0.013475	0.012512	0.012799	0.012646	0.012574	0.012398	0.01259	0.012759	0.012689	0.012576	0.012545	0.012421	0.011215	0.012585	0.012478	0.012527	0.012791	0.012366	0.012546	0.012442	0.012133	0.011926	0.0095737	0.012718	0.012023	0.010491	0.011682	0.012799	0.0081107	0.010707	0.012654	0.011004	0.0099429	0.011499	0.011757	0.013027	0.012604	0.0081107	0.012485	0.012528	0.012756	0.012486	0.012706	0.012698	0.012529                                                                       
IL13   	0.011855	0.011378	0.011404	0.0083149	0.012174	0.012671	0.012415	0.012542	0.012491	0.012576	0.012538	0.012661	0.012458	0.012678	0.012532	0.012595	0.012553	0.01256	0.012197	0.011724	0.012072	0.011982	0.011079	0.012607	0.012426	0.012619	0.010699	0.012165	0.012028	0.012604	0.012633	0.012322	0.012643	0.01258	0.013048	0.01256	0.012661	0.012512	0.012565	0.012971	0.012663	0.012524	0.012583	0.012518	0.012718	0.012597	0.012621	0.012558	0.012482	0.011274	0.012606	0.012509	0.012535	0.012562	0.012328	0.012562	0.012486	0.012257	0.012046	0.0099281	0.012648	0.012142	0.012154	0.012829	0.01272	0.0081212	0.011724	0.012593	0.011865	0.011966	0.012071	0.012193	0.012717	0.01255	0.0081212	0.012496	0.012547	0.012619	0.012512	0.012681	0.012696	0.012583                                                                        
IL13RA1	0.012091	0.011157	0.010901	0.0066577	0.01094	0.012964	0.0125	0.012673	0.012624	0.012781	0.012728	0.013094	0.01259	0.012825	0.012758	0.012826	0.012749	0.012824	0.010391	0.010426	0.011422	0.01187	0.010512	0.012313	0.012539	0.012887	0.0098167	0.011663	0.011527	0.012895	0.012969	0.012491	0.012961	0.013046	0.013245	0.012782	0.012994	0.012799	0.012971	0.020559	0.013117	0.012709	0.01222	0.012742	0.012664	0.012913	0.012867	0.012842	0.012648	0.010354	0.012848	0.01276	0.012911	0.013197	0.012452	0.012808	0.012694	0.012374	0.011997	0.008788	0.013028	0.012167	0.010733	0.012999	0.012965	0.007084	0.010426	0.01269	0.010798	0.010391	0.011403	0.011772	0.013006	0.012741	0.007084	0.01268	0.012951	0.012969	0.012762	0.012993	0.012901	0.012789                                                                              
IL13RA2	0.011738	0.011033	0.011513	0.0074582	0.010679	0.01293	0.01259	0.01265	0.012613	0.012771	0.012663	0.012854	0.012614	0.012806	0.012688	0.012791	0.012731	0.012776	0.010092	0.011184	0.011816	0.012293	0.01139	0.012743	0.012582	0.01293	0.01071	0.012036	0.010842	0.01282	0.012869	0.012401	0.012894	0.012788	0.01301	0.012689	0.012843	0.012646	0.012663	0.013117	0.01303	0.012743	0.013267	0.01273	0.013148	0.012823	0.012997	0.012775	0.012674	0.01109	0.012906	0.012774	0.012697	0.012734	0.012505	0.012821	0.012691	0.012531	0.012241	0.0098413	0.012893	0.012284	0.010649	0.012217	0.013023	0.0078447	0.011184	0.012828	0.011457	0.010055	0.011875	0.012102	0.012983	0.012751	0.0078447	0.012699	0.012622	0.012836	0.012754	0.012987	0.013016	0.012816                                                                              
IL17A  	0.011735	0.011253	0.011578	0.0088742	0.010493	0.012874	0.012505	0.012529	0.012516	0.012654	0.012508	0.012663	0.012511	0.01277	0.012553	0.012679	0.01262	0.012673	0.0098625	0.011104	0.011686	0.012106	0.011192	0.012781	0.01248	0.012735	0.010892	0.011917	0.009919	0.012731	0.012812	0.012313	0.012809	0.01268	0.012888	0.012595	0.01274	0.012574	0.012524	0.012709	0.012743	0.012861	0.013512	0.012651	0.013323	0.012734	0.012836	0.012651	0.012551	0.016454	0.012781	0.012634	0.012557	0.01257	0.012443	0.01267	0.01257	0.012372	0.012174	0.010132	0.012807	0.012313	0.010482	0.011503	0.012962	0.0083244	0.011104	0.012922	0.011359	0.009848	0.011768	0.011983	0.013003	0.01281	0.0083244	0.012829	0.012496	0.01276	0.01262	0.012861	0.012939	0.01272                                                                               
IL17RB 	0.010536	0.0097686	0.011472	0.006212	0.0089203	0.012623	0.0136	0.012558	0.01254	0.012726	0.012487	0.012618	0.012601	0.012218	0.012587	0.01281	0.012637	0.012582	0.0080882	0.010726	0.011466	0.011329	0.0096882	0.01215	0.012502	0.012245	0.011068	0.01192	0.00832	0.012671	0.012757	0.01215	0.012616	0.012752	0.012234	0.012461	0.012709	0.012398	0.012583	0.01222	0.013267	0.013512	0.034914	0.012725	0.013394	0.012881	0.016164	0.012661	0.012568	0.011877	0.013414	0.012388	0.012547	0.01246	0.01303	0.012729	0.012754	0.011912	0.012041	0.0096542	0.012633	0.012022	0.0089988	0.010496	0.012068	0.0094181	0.010726	0.012951	0.011037	0.008011	0.01179	0.011994	0.012873	0.012303	0.0094181	0.012566	0.012407	0.012708	0.012694	0.012324	0.012132	0.01299                                                                            
IL18   	0.011935	0.01153	0.012795	0.0076994	0.01068	0.012816	0.012538	0.01252	0.012517	0.012626	0.012525	0.012662	0.012522	0.012648	0.012555	0.012647	0.0126	0.012648	0.010091	0.011214	0.011759	0.012178	0.011356	0.01256	0.012516	0.012688	0.012623	0.01198	0.01002	0.01269	0.012799	0.012381	0.012764	0.012665	0.012989	0.012581	0.012735	0.01259	0.012518	0.012742	0.01273	0.012651	0.012725	0.012732	0.013598	0.012696	0.012725	0.012621	0.012555	0.011487	0.012795	0.012637	0.01255	0.012569	0.01246	0.012644	0.012565	0.012411	0.012484	0.012506	0.012791	0.012208	0.01066	0.011569	0.012887	0.0085251	0.011214	0.012723	0.011462	0.010077	0.011843	0.012037	0.012887	0.012787	0.0085251	0.012591	0.012497	0.012721	0.012619	0.012815	0.012857	0.012658                                                                                  
IL1RL1 	0.010935	0.010166	0.011747	0.0065226	0.00959	0.013091	0.012602	0.012679	0.012652	0.012771	0.012511	0.012763	0.012634	0.012374	0.0126	0.012813	0.012658	0.012861	0.0087177	0.01018	0.011167	0.011497	0.0098322	0.012312	0.012589	0.012443	0.010462	0.011559	0.0088546	0.012987	0.013993	0.012143	0.013122	0.012947	0.012919	0.012804	0.013113	0.012759	0.012718	0.012664	0.013148	0.013323	0.013394	0.013598	0.022224	0.01309	0.013233	0.012805	0.012606	0.012069	0.014196	0.012601	0.012733	0.01267	0.012886	0.012675	0.012714	0.012078	0.012059	0.0095848	0.013469	0.012192	0.009549	0.010966	0.012811	0.009298	0.01018	0.012961	0.010599	0.0086817	0.011343	0.011696	0.013503	0.014085	0.009298	0.01272	0.012652	0.01317	0.012826	0.012848	0.01276	0.012955                                                                           
IL21   	0.012068	0.011616	0.011542	0.0073551	0.01056	0.013065	0.012527	0.0126	0.012564	0.012736	0.012615	0.012774	0.012569	0.012806	0.012638	0.012744	0.012692	0.012764	0.0099046	0.011175	0.011768	0.012113	0.011177	0.012844	0.012534	0.012846	0.010757	0.011992	0.010308	0.012818	0.012918	0.012467	0.012953	0.012759	0.013078	0.012671	0.012834	0.012689	0.012597	0.012913	0.012823	0.012734	0.012881	0.012696	0.01309	0.012816	0.012819	0.012725	0.012617	0.01193	0.012795	0.012721	0.012654	0.012676	0.012507	0.012741	0.012622	0.012419	0.012183	0.0099713	0.013028	0.012216	0.01051	0.011805	0.013212	0.0084913	0.011175	0.012856	0.011432	0.0099082	0.011836	0.012056	0.013076	0.013304	0.0084913	0.012707	0.012589	0.012855	0.012669	0.013049	0.013188	0.012778                                                                       
IL25   	0.0114	0.010722	0.011642	0.0070446	0.010172	0.012891	0.012733	0.01264	0.012582	0.012789	0.012635	0.012796	0.012609	0.012712	0.012665	0.012788	0.012711	0.012739	0.0095171	0.011278	0.011853	0.012103	0.011073	0.01299	0.01257	0.012767	0.010997	0.01209	0.010271	0.012788	0.012851	0.012324	0.012851	0.012766	0.012854	0.01263	0.012801	0.012576	0.012621	0.012867	0.012997	0.012836	0.016164	0.012725	0.013233	0.012819	0.013411	0.01274	0.01265	0.011197	0.012969	0.012696	0.012657	0.012653	0.012602	0.012782	0.012685	0.012408	0.01223	0.01008	0.012867	0.012206	0.010196	0.011777	0.012896	0.0087166	0.011278	0.012836	0.011529	0.0094485	0.011952	0.012148	0.012958	0.012781	0.0087166	0.01268	0.012562	0.012804	0.012716	0.012887	0.012939	0.012864                                                                              
IL2RA  	0.011666	0.011036	0.011592	0.0075153	0.010493	0.012878	0.012543	0.01256	0.012527	0.012689	0.012624	0.01273	0.012581	0.012784	0.012638	0.012702	0.012661	0.012723	0.0098501	0.012079	0.012319	0.012271	0.011564	0.012729	0.01258	0.013038	0.010881	0.012408	0.01034	0.012745	0.012745	0.012333	0.012854	0.012695	0.012829	0.012608	0.012718	0.012545	0.012558	0.012842	0.012775	0.012651	0.012661	0.012621	0.012805	0.012725	0.01274	0.012719	0.012656	0.011822	0.012719	0.012765	0.012608	0.012635	0.012461	0.012794	0.012625	0.012515	0.012237	0.010118	0.012786	0.012209	0.010459	0.01181	0.013198	0.008358	0.012079	0.012729	0.012197	0.0098404	0.01234	0.012433	0.012855	0.012674	0.008358	0.012676	0.012536	0.012735	0.012636	0.013042	0.013193	0.012731                                                                           
IL3    	0.011466	0.010828	0.012042	0.0078037	0.010231	0.012698	0.012572	0.012494	0.012478	0.012624	0.012607	0.012651	0.012577	0.012743	0.012613	0.012636	0.012613	0.012616	0.0095825	0.012784	0.012733	0.012704	0.012703	0.012735	0.012613	0.013182	0.011652	0.012725	0.0099881	0.012615	0.012589	0.012257	0.012647	0.012597	0.012597	0.012497	0.012584	0.012421	0.012482	0.012648	0.012674	0.012551	0.012568	0.012555	0.012606	0.012617	0.01265	0.012656	0.012672	0.011467	0.012627	0.012766	0.012532	0.012567	0.012418	0.01281	0.012622	0.012737	0.012458	0.011128	0.012596	0.012234	0.010252	0.011549	0.012736	0.0083025	0.012784	0.012651	0.01279	0.0095522	0.012729	0.012713	0.012677	0.0124	0.0083025	0.01263	0.012444	0.012601	0.012588	0.012765	0.01276	0.012641                                                                        
IL31   	0.0083445	0.0074211	0.0089803	0.0053374	0.0072312	0.012224	0.011062	0.011066	0.011299	0.011216	0.010368	0.010735	0.011147	0.012174	0.010928	0.011437	0.011375	0.011479	0.0063019	0.0073645	0.0086961	0.0099582	0.0084899	0.012669	0.011326	0.012401	0.0077627	0.0092216	0.0064849	0.011814	0.011604	0.0099399	0.011521	0.011535	0.010558	0.011559	0.011626	0.011215	0.011274	0.010354	0.01109	0.016454	0.011877	0.011487	0.012069	0.01193	0.011197	0.011822	0.011467	0.15384	0.011586	0.011751	0.011246	0.011329	0.011119	0.011912	0.011579	0.011323	0.010747	0.0068014	0.01091	0.011107	0.0071619	0.0086402	0.010505	0.0053178	0.0073645	0.013087	0.0079372	0.0062407	0.008904	0.009519	0.0123	0.0098018	0.0053178	0.017756	0.011067	0.012029	0.011527	0.01092	0.010464	0.011992                                                       
IL33   	0.011466	0.010825	0.011798	0.0073095	0.010476	0.012885	0.012593	0.012643	0.012579	0.012772	0.012621	0.012779	0.012593	0.012751	0.012645	0.012763	0.012693	0.012733	0.0098688	0.011341	0.01188	0.012054	0.010999	0.013093	0.012563	0.012768	0.011124	0.012089	0.01021	0.012783	0.012936	0.012313	0.012854	0.012746	0.012884	0.012641	0.012803	0.012585	0.012606	0.012848	0.012906	0.012781	0.013414	0.012795	0.014196	0.012795	0.012969	0.012719	0.012627	0.011586	0.013003	0.012683	0.012634	0.012636	0.012549	0.012742	0.012645	0.01238	0.012233	0.010353	0.012886	0.012213	0.01052	0.011729	0.012916	0.0086478	0.011341	0.012809	0.011581	0.0098162	0.011955	0.012144	0.012974	0.012849	0.0086478	0.012685	0.012571	0.01281	0.012692	0.012887	0.012941	0.012824                                                                       
IL3RA  	0.011436	0.010631	0.012306	0.0074684	0.0096954	0.012865	0.012554	0.012513	0.012528	0.012673	0.012508	0.012693	0.012577	0.012704	0.012615	0.012666	0.012638	0.012768	0.0088854	0.011282	0.011818	0.013359	0.014098	0.012704	0.012638	0.013804	0.011971	0.012056	0.010295	0.012743	0.012686	0.012217	0.012855	0.012705	0.012579	0.012585	0.012661	0.012478	0.012509	0.01276	0.012774	0.012634	0.012388	0.012637	0.012601	0.012721	0.012696	0.012765	0.012766	0.011751	0.012683	0.013084	0.012646	0.012712	0.012449	0.013014	0.012715	0.013191	0.012742	0.011616	0.012705	0.012358	0.0096946	0.011797	0.013248	0.0082561	0.011282	0.012737	0.011551	0.008863	0.01191	0.012132	0.012776	0.012457	0.0082561	0.012791	0.01245	0.012712	0.012704	0.013172	0.013293	0.012742                                                                    
IL4    	0.011961	0.011515	0.011604	0.0076408	0.010356	0.012738	0.012438	0.012475	0.01245	0.012605	0.01254	0.01269	0.012477	0.01271	0.012547	0.012625	0.012585	0.012627	0.0097329	0.011362	0.011836	0.012485	0.01216	0.012653	0.012454	0.012714	0.010992	0.012016	0.015215	0.012661	0.01274	0.012374	0.012764	0.012622	0.012719	0.012524	0.012646	0.012527	0.012535	0.012911	0.012697	0.012557	0.012547	0.01255	0.012733	0.012654	0.012657	0.012608	0.012532	0.011246	0.012634	0.012646	0.012698	0.012659	0.012376	0.012619	0.012543	0.012557	0.012245	0.010319	0.012842	0.012166	0.010346	0.013938	0.012994	0.0081462	0.011362	0.012666	0.011568	0.0097103	0.011884	0.012075	0.012781	0.013236	0.0081462	0.012567	0.012458	0.012675	0.012559	0.012891	0.013045	0.01264                                                                          
IL4R   	0.013864	0.013546	0.011479	0.0072215	0.010349	0.012749	0.012459	0.012481	0.01247	0.01261	0.012623	0.01276	0.012506	0.012753	0.012615	0.012646	0.012653	0.012625	0.0097185	0.011166	0.011732	0.012336	0.011872	0.012523	0.01248	0.013092	0.010775	0.011955	0.013088	0.012669	0.012694	0.012899	0.012708	0.012641	0.012847	0.012545	0.012695	0.012791	0.012562	0.013197	0.012734	0.01257	0.01246	0.012569	0.01267	0.012676	0.012653	0.012635	0.012567	0.011329	0.012636	0.012712	0.012659	0.012795	0.012385	0.012755	0.012556	0.012543	0.012193	0.010009	0.012718	0.01212	0.010306	0.013587	0.012782	0.0081213	0.011166	0.012636	0.011415	0.009694	0.01179	0.012009	0.012806	0.012652	0.0081213	0.012606	0.012501	0.012699	0.012566	0.012795	0.012785	0.012621                                                                            
IL5    	0.011753	0.011359	0.011947	0.0072149	0.010162	0.012629	0.012407	0.012345	0.012314	0.012477	0.012478	0.012539	0.01239	0.01257	0.012445	0.01251	0.012476	0.012452	0.0095224	0.012007	0.012176	0.011886	0.011096	0.012467	0.012377	0.012533	0.011489	0.012292	0.0097188	0.012488	0.0126	0.012273	0.012555	0.012457	0.012495	0.012356	0.012492	0.012366	0.012328	0.012452	0.012505	0.012443	0.01303	0.01246	0.012886	0.012507	0.012602	0.012461	0.012418	0.011119	0.012549	0.012449	0.012376	0.012385	0.012614	0.012513	0.012399	0.01218	0.012127	0.011009	0.012695	0.011936	0.010163	0.011282	0.012567	0.015932	0.012007	0.012436	0.012092	0.0095219	0.012242	0.012294	0.012585	0.013132	0.015932	0.012405	0.012319	0.012516	0.012407	0.012554	0.012568	0.012487                                                                           
IL5RA  	0.011781	0.011039	0.011852	0.0069938	0.0098478	0.012841	0.012637	0.012583	0.012558	0.012745	0.012703	0.012831	0.012642	0.013039	0.012749	0.012776	0.012764	0.012726	0.0090788	0.011992	0.012292	0.012424	0.011795	0.012875	0.012693	0.014125	0.011283	0.012452	0.0097954	0.012726	0.012691	0.01242	0.012732	0.012699	0.012611	0.012579	0.012688	0.012546	0.012562	0.012808	0.012821	0.01267	0.012729	0.012644	0.012675	0.012741	0.012782	0.012794	0.01281	0.011912	0.012742	0.013014	0.012619	0.012755	0.012513	0.013209	0.012706	0.012724	0.0124	0.010516	0.01268	0.012218	0.0098703	0.011642	0.012695	0.0085448	0.011992	0.012763	0.012163	0.0090571	0.012352	0.012468	0.012794	0.012382	0.0085448	0.012826	0.012521	0.012723	0.012688	0.012851	0.012721	0.012758                                                                     
IL9    	0.011543	0.010941	0.012024	0.007915	0.010533	0.012699	0.012536	0.012504	0.01249	0.012619	0.012548	0.012635	0.012545	0.01269	0.012571	0.012622	0.012589	0.01261	0.0099505	0.012164	0.01235	0.013067	0.013456	0.012775	0.012558	0.012871	0.011623	0.012416	0.010148	0.01262	0.012616	0.012255	0.012656	0.012604	0.012662	0.012513	0.012604	0.012442	0.012486	0.012694	0.012691	0.01257	0.012754	0.012565	0.012714	0.012622	0.012685	0.012625	0.012622	0.011579	0.012645	0.012715	0.012543	0.012556	0.012399	0.012706	0.012622	0.012865	0.012518	0.0111	0.012625	0.012288	0.010552	0.011639	0.012746	0.0082274	0.012164	0.012677	0.01226	0.0099309	0.012368	0.012435	0.012714	0.012476	0.0082274	0.012617	0.012452	0.012614	0.012597	0.01275	0.012758	0.012643                                                                             
KIT    	0.010886	0.010016	0.013011	0.0082426	0.0091506	0.012361	0.012411	0.012235	0.012402	0.01236	0.012134	0.012337	0.012444	0.012249	0.012333	0.012347	0.012344	0.012483	0.0083452	0.010811	0.01145	0.018473	0.027326	0.012229	0.012569	0.013196	0.013151	0.011709	0.01007	0.012393	0.012285	0.011839	0.012343	0.012462	0.012068	0.012315	0.0123	0.012133	0.012257	0.012374	0.012531	0.012372	0.011912	0.012411	0.012078	0.012419	0.012408	0.012515	0.012737	0.011323	0.01238	0.013191	0.012557	0.012543	0.01218	0.012724	0.012865	0.015768	0.01416	0.013193	0.012234	0.012865	0.0092061	0.011504	0.012245	0.0071502	0.010811	0.012594	0.01113	0.0082942	0.011553	0.011827	0.012344	0.011858	0.0071502	0.012693	0.012119	0.012354	0.01267	0.012533	0.012322	0.01243                                                                           
KITLG  	0.010565	0.0098479	0.01753	0.0099206	0.0092928	0.012091	0.012544	0.012054	0.012255	0.012162	0.011944	0.012085	0.012297	0.011991	0.012134	0.012161	0.012152	0.012238	0.0085797	0.010833	0.011356	0.015666	0.020254	0.011907	0.012469	0.012575	0.020669	0.011643	0.0092416	0.012149	0.012062	0.011665	0.012084	0.012258	0.01189	0.012101	0.012101	0.011926	0.012046	0.011997	0.012241	0.012174	0.012041	0.012484	0.012059	0.012183	0.01223	0.012237	0.012458	0.010747	0.012233	0.012742	0.012245	0.012193	0.012127	0.0124	0.012518	0.01416	0.014619	0.023746	0.012004	0.012608	0.0093827	0.010826	0.011951	0.0077523	0.010833	0.012378	0.011119	0.0085336	0.011533	0.011733	0.012111	0.011677	0.0077523	0.012363	0.011927	0.012123	0.012483	0.012174	0.011981	0.01218                                                                     
LTB4R  	0.0068811	0.0060376	0.052464	0.0055492	0.0057529	0.009222	0.013013	0.009984	0.010926	0.010005	0.0093249	0.0094356	0.010993	0.0087398	0.010076	0.0099572	0.010062	0.010171	0.0049607	0.007359	0.0083112	0.014619	0.01761	0.0083848	0.011972	0.010169	0.074993	0.0092481	0.0053276	0.0097751	0.0094358	0.0092169	0.0093298	0.010433	0.0086247	0.009989	0.0097482	0.0095737	0.0099281	0.008788	0.0098413	0.010132	0.0096542	0.012506	0.0095848	0.0099713	0.01008	0.010118	0.011128	0.0068014	0.010353	0.011616	0.010319	0.010009	0.011009	0.010516	0.0111	0.013193	0.023746	0.11403	0.0091419	0.011376	0.0060292	0.0072106	0.0083483	0.0053187	0.007359	0.010117	0.0080326	0.0048805	0.0091506	0.0094687	0.0091418	0.0082683	0.0053187	0.010556	0.0096025	0.009732	0.01141	0.0091768	0.0083749	0.0098866                                   
